Y,X,PC_4,Year,Gemeente code,Provincie code,Provincie name,Gemeente name
52.1646676045,4.51072629664,2315,2020,546,28,Zuid-Holland,Leiden
52.1545099687,4.67477216534,2402,2020,484,28,Zuid-Holland,Alphen aan den Rijn
52.147060238,4.69006200787,2403,2020,484,28,Zuid-Holland,Alphen aan den Rijn
52.1471932674,4.7891478373,2421,2020,569,28,Zuid-Holland,Nieuwkoop
52.0683464364,4.38500342893,2491,2020,518,28,Zuid-Holland,'s-Gravenhage
52.0769281426,4.27676058938,2561,2020,518,28,Zuid-Holland,'s-Gravenhage
52.0648093647,4.2781272917,2574,2020,518,28,Zuid-Holland,'s-Gravenhage
52.0922731602,4.2701349628,2581,2020,518,28,Zuid-Holland,'s-Gravenhage
52.0023434778,4.20067582995,2673,2020,1783,28,Zuid-Holland,Westland
52.0272052474,4.22381748085,2685,2020,1783,28,Zuid-Holland,Westland
51.9782515338,4.82455047196,2855,2020,1931,28,Zuid-Holland,Krimpenerwaard
51.8869999758,4.69756007985,2957,2020,1978,28,Zuid-Holland,Molenlanden
51.9296475594,4.47851202499,3032,2020,599,28,Zuid-Holland,Rotterdam
51.9279513952,4.25471880331,3142,2020,556,28,Zuid-Holland,Maassluis
51.9428904787,4.1492894434,3198,2020,599,28,Zuid-Holland,Rotterdam
51.8417744722,4.34095522427,3203,2020,1930,28,Zuid-Holland,Nissewaard
51.8031153336,4.03503639348,3251,2020,1924,28,Zuid-Holland,Goeree-Overflakkee
51.7727133341,4.63759025291,3316,2020,505,28,Zuid-Holland,Dordrecht
51.8366630127,4.78103380414,3364,2020,610,28,Zuid-Holland,Sliedrecht
52.0657027061,5.05529930621,3545,2020,344,26,Utrecht,Utrecht
52.0998095135,5.13548131611,3572,2020,344,26,Utrecht,Utrecht
52.1397173269,5.07327463228,3602,2020,1904,26,Utrecht,Stichtse Vecht
52.1513470675,5.59793377971,3771,2020,203,25,Gelderland,Barneveld
52.3451040527,5.63387979962,3842,2020,243,25,Gelderland,Harderwijk
51.9659040476,5.23928148675,4101,2020,216,25,Gelderland,Culemborg
51.9460651259,5.32905446517,4119,2020,214,25,Gelderland,Buren
51.9463842991,5.12648362233,4122,2020,1961,26,Utrecht,Vijfheerenlanden
51.9550736623,5.01836872779,4128,2020,1961,26,Utrecht,Vijfheerenlanden
51.8441015727,5.28428716501,4182,2020,1960,25,Gelderland,West Betuwe
